"title","company","salary_label","location_label","description","search_term","source","creationdate","worktypecode","title_clean","description_clean","description_words","description_tsv","keywords"
Customer Service Representative (Fixed term 12 Months),Resmed,"",Australia,"&nbsp;...Role Overview 
 The primary role of a   <b>Customer </b>Service Representative in the   Customer Care Team is to deliver exceptional customer...&nbsp;&nbsp;...resolutions and follow-ups. 
 Provide performance metrics and <b>insights </b>to management as required. 

 Support Scope 
 Customer Service...&nbsp;",customer insights analyst,swooped.co,2025-09-22 00:00:00.000 +0700,not_specified,Customer Service Representative (Fixed term 12 Months),...Role Overview The primary role of a  Customer Service Representative in the  Customer Care Team is to deliver exceptional customer... ...resolutions and follow-ups. Provide performance metrics and insights to management as required. Support Scope Customer Service...,role overview the primary role of a customer service representative in the customer care team is to deliver exceptional customer resolutions and follow ups provide performance metrics and insights to management as required support scope customer service,"'a ':7 'care':14 'custom':8,13,20,37 'deliv':18 'except':19 'follow':24 'follow-up':23 'insight':30 'manag':32 'metric':28 'overview':2 'perform':27 'primari':4 'provid':26 'repres':10 'requir':34 'resolut':21 'role':1,5 'scope':36 'servic':9,38 'support':35 'team':15 'the ':12 'up':25","{a ,care,custom,deliv,except,follow,follow-up,insight,manag,metric,overview,perform,primari,provid,repres,requir,resolut,role,scope,servic,support,team,the ,up}"
"Vice President, Head of Corporate Solutions Business Development, ANZ",Mastercard,"",Australia,"&nbsp;...Our Purpose  Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our <b>customers,</b> we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions...&nbsp;",customer insights analyst,decentrajobs.com,2026-07-09 04:44:42.847 +0700,full_time,Vice President,"...Our Purpose Mastercard powers economies and empowers people in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions...",our purpose mastercard powers economies and empowers people in countries and territories worldwide together with our customers we re helping build a sustainable economy where everyone can prosper we support a wide range of digital payments choices making transactions,'200':10 'a sustainable economi':22 'build':21 'choic':35 'countri':11 'custom':18 'digit':33 'economi':5 'empow':7 'everyon':24 'help':20 'make':36 'mastercard':3 'payment':34 'peopl':8 'power':4 'prosper':26 'purpos':2 'rang':31 'support':28 'territori':13 'togeth':15 'transact':37 'we’r':19 'wide':30 'worldwid':14,"{200,a sustainable economi,build,choic,countri,custom,digit,economi,empow,everyon,help,make,mastercard,payment,peopl,power,prosper,purpos,rang,support,territori,togeth,transact,we’r,wide,worldwid}"
Forex CFD Account Manager I Mandarin Speaking,TMGM,"",Australia,"&nbsp;...pipelines. 
 Build and nurture relationships with new clients to foster long-term partnerships 
 Client Service: 
 Deliver exceptional <b>customer </b>service across various communication channels to ensure client satisfaction. 
 Please respond quickly and professionally to...&nbsp;",customer insights analyst,swooped.co,2025-08-12 00:00:00.000 +0700,not_specified,Forex CFD Account Manager I Mandarin Speaking,...pipelines. Build and nurture relationships with new clients to foster long-term partnerships Client Service: Deliver exceptional customer service across various communication channels to ensure client satisfaction. Please respond quickly and professionally to...,pipelines build and nurture relationships with new clients to foster long term partnerships client service deliver exceptional customer service across various communication channels to ensure client satisfaction please respond quickly and professionally to,"'across':21 'build':2 'channel':24 'client':8,15,27 'communic':23 'custom':19 'deliv':17 'ensur':26 'except':18 'foster':10 'long':12 'long-term':11 'new':7 'nurtur':4 'partnership':14 'pipelin':1 'pleas':29 'profession':33 'quick':31 'relationship':5 'respond':30 'satisfact':28 'servic':16,20 'term':13 'various':22","{across,build,channel,client,communic,custom,deliv,ensur,except,foster,long,long-term,new,nurtur,partnership,pipelin,pleas,profession,quick,relationship,respond,satisfact,servic,term,various}"
Enterprise Operations Analyst II,Mastercard,"",Australia,"&nbsp;...in 200+ countries and territories worldwide. Together with our <b>customers,</b> we’re helping build a sustainable economy where everyone can prosper...&nbsp;&nbsp;...greatest potential.  Title and Summary  Enterprise Operations <b>Analyst </b>II 
 Job Overview: Provide technical support for MasterCard’s...&nbsp;",customer insights analyst,decentrajobs.com,2026-07-08 03:06:03.293 +0700,full_time,Enterprise Operations Analyst II,"...in 200+ countries and territories worldwide. Together with our customers, we’re helping build a sustainable economy where everyone can prosper... ...greatest potential. Title and Summary Enterprise Operations Analyst II Job Overview: Provide technical support for MasterCard’s...",in countries and territories worldwide together with our customers we re helping build a sustainable economy where everyone can prosper greatest potential title and summary enterprise operations analyst ii job overview provide technical support for mastercard s,'200':2 'analyst':26 'a sustainable economi':14 'build':13 'countri':3 'custom':10 'enterpris':24 'everyon':16 'greatest':19 'help':12 'ii':27 'job':28 'mastercard’':34 'oper':25 'overview':29 'potenti':20 'prosper':18 'provid':30 'summari':23 'support':32 'technic':31 'territori':5 'titl':21 'togeth':7 'we’r':11 'worldwid':6,"{200,analyst,a sustainable economi,build,countri,custom,enterpris,everyon,greatest,help,ii,job,mastercard’,oper,overview,potenti,prosper,provid,summari,support,technic,territori,titl,togeth,we’r,worldwid}"
Affiliate BD Manager,OKX,"",Australia,"&nbsp;...leaders, influencers, trading groups, websites, event organisers, professionals in relevant industries, and other companies serving <b>customer </b>bases with related interests. 
 Build the business case for signing affiliates and partners to work with OKX online and at in...&nbsp;",customer insights analyst,decentrajobs.com,2026-07-23 09:24:54.673 +0700,full_time,Affiliate BD Manager,"...leaders, influencers, trading groups, websites, event organisers, professionals in relevant industries, and other companies serving customer bases with related interests.  Build the business case for signing affiliates and partners to work with OKX online and at in...",leaders influencers trading groups websites event organisers professionals in relevant industries and other companies serving customer bases with related interests build the business case for signing affiliates and partners to work with okx online and at in,'affili':28 'base':17 'build':22 'busi':24 'case':25 'compani':14 'custom':16 'event':6 'group':4 'industri':11 'influenc':2 'interest':20 'leader':1 'okx':34 'onlin':35 'organis':7 'partner':30 'profession':8 'relat':19 'relev':10 'serv':15 'sign':27 'trade':3 'websit':5 'work':32 ' ':21,"{affili,base,build,busi,case,compani,custom,event,group,industri,influenc,interest,leader,okx,onlin,organis,partner,profession,relat,relev,serv,sign,trade,websit,work, }"
IT Security Analyst,Fender,"",Australia,"&nbsp;...Instruments Corporation (""FMIC"") is seeking an experienced IT Security <b>Analyst </b>to join our team in Sydney, Australia. Working within the...&nbsp;&nbsp;...threats and technologies. 
~ Team-oriented with strong <b>customer </b>service focus and willingness to work flexible hours where required...&nbsp;",customer insights analyst,swooped.co,2025-09-06 00:00:00.000 +0700,not_specified,IT Security Analyst,"...Instruments Corporation (""FMIC"") is seeking an experienced IT Security Analyst  to join our team in Sydney, Australia. Working within the... ...threats and technologies. ~ Team-oriented with strong customer service focus and willingness to work flexible hours where required...",instruments corporation fmic is seeking an experienced it security analyst to join our team in sydney australia working within the threats and technologies team oriented with strong customer service focus and willingness to work flexible hours where required,"'analyst ':9 'australia':15 'corpor':2 'custom':27 'experienced it':7 'flexibl':34 'fmic':3 'focus':29 'hour':35 'instrument':1 'in sydney':14 'join':11 'orient':24 'requir':37 'secur':8 'seek':5 'servic':28 'strong':26 'team':13,23 'team-ori':22 'technolog':21 'threat':19 'willing':31 'within':17 'work':16,33","{analyst ,australia,corpor,custom,experienced it,flexibl,fmic,focus,hour,instrument,in sydney,join,orient,requir,secur,seek,servic,strong,team,team-ori,technolog,threat,willing,within,work}"
Regional Partner Manager - MSP,Lastpass,"",Australia,"&nbsp;...Focused on execution and impact, we work closely with MSP partners to grow adoption, accelerate revenue, and deliver outstanding <b>customer </b>outcomes. Collaboration is core - across Sales, Marketing, and Product - and we move with urgency to turn partnership into competitive...&nbsp;",customer insights analyst,hireskys.com,2026-07-23 19:54:25.597 +0700,full_time,Regional Partner Manager - MSP,"...Focused on execution and impact, we work closely with MSP partners to grow adoption, accelerate revenue, and deliver outstanding customer outcomes. Collaboration is core - across Sales, Marketing, and Product - and we move with urgency to turn partnership into competitive...",focused on execution and impact we work closely with msp partners to grow adoption accelerate revenue and deliver outstanding customer outcomes collaboration is core across sales marketing and product and we move with urgency to turn partnership into competitive,'acceler':15 'across':25 'adopt':14 'close':8 'collabor':22 'competit':39 'core':24 'custom':20 'deliv':18 'execut':3 'focus':1 'grow':13 'impact':5 'market':27 'move':32 'msp':10 'outcom':21 'outstand':19 'partner':11 'partnership':37 'product':29 'revenu':16 'sale':26 'turn':36 'urgenc':34 'work':7,"{acceler,across,adopt,close,collabor,competit,core,custom,deliv,execut,focus,grow,impact,market,move,msp,outcom,outstand,partner,partnership,product,revenu,sale,turn,urgenc,work}"
Leading Hand,SD Guthrie Berhad,"",Australia,"&nbsp;...facilitate regular communication sessions and promote a positive, collaborative team culture. 
 Liaise across departments and keep <b>customers </b>informed – coordinate with internal stakeholders to ensure efficient workflow and smooth progression of jobs and involve customers...&nbsp;",customer insights analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,Leading Hand,"...facilitate regular communication sessions and promote a positive, collaborative team culture. Liaise across departments and keep customers informed – coordinate with internal stakeholders to ensure efficient workflow and smooth progression of jobs and involve customers...",facilitate regular communication sessions and promote a positive collaborative team culture liaise across departments and keep customers informed coordinate with internal stakeholders to ensure efficient workflow and smooth progression of jobs and involve customers,"'across':13 'collabor':9 'communic':3 'coordin':20 'cultur':11 'custom':17,35 'depart':14 'effici':26 'ensur':25 'facilit':1 'inform':18 'intern':22 'involv':34 'job':32 'keep':16 'liais':12 'posit':8 'progress':30 'promot':6 'regular':2 'session':4 'smooth':29 'stakehold':23 'team':10 'workflow':27 '–':19","{across,collabor,communic,coordin,cultur,custom,depart,effici,ensur,facilit,inform,intern,involv,job,keep,liais,posit,progress,promot,regular,session,smooth,stakehold,team,workflow,–}"
Regional Technical Specialist,BYD,"",Australia,"&nbsp;...ensuring continuous improvement in both technical performance and <b>customer </b>satisfaction. 

 Key Responsibilities 
 Respond promptly to...&nbsp;&nbsp;...as the ""eyes and ears"" in the field, providing feedback and <b>insights </b>to the Aftersales team. 
 Monitor technician competency levels...&nbsp;",customer insights analyst,ev.careers,2026-06-30 19:38:38.017 +0700,full_time,Regional Technical Specialist,"...ensuring continuous improvement in both technical performance and customer satisfaction. Key Responsibilities Respond promptly to... ...as the ""eyes and ears"" in the field, providing feedback and insights to the Aftersales team. Monitor technician competency levels...",ensuring continuous improvement in both technical performance and customer satisfaction key responsibilities respond promptly to as the eyes and ears in the field providing feedback and insights to the aftersales team monitor technician competency levels,'aftersal':30 'compet':34 'continu':2 'custom':9 'ear':20 'ensur':1 'eye':18 'feedback':25 'field':23 'improv':3 'insight':27 'key':11 'level':35 'monitor':32 'perform':7 'prompt':14 'provid':24 'respond':13 'respons':12 'satisfact':10 'team':31 'technic':6 'technician':33,"{aftersal,compet,continu,custom,ear,ensur,eye,feedback,field,improv,insight,key,level,monitor,perform,prompt,provid,respond,respons,satisfact,team,technic,technician}"
Account Manager,Podium,$600 per month,Australia,"&nbsp;...mission is to arm every local business with a complete platform and outcome-driven AI employees that convert leads into real, paying <b>customers.</b> Every day, millions of workers use our AI lead conversion and communication platform to help them get more leads and make more...&nbsp;",customer insights analyst,swooped.co,2025-08-01 00:00:00.000 +0700,not_specified,Account Manager,"...mission is to arm every local business with a complete platform and outcome-driven AI employees that convert leads into real, paying customers. Every day, millions of workers use our AI lead conversion and communication platform to help them get more leads and make more...",mission is to arm every local business with a complete platform and outcome driven ai employees that convert leads into real paying customers every day millions of workers use our ai lead conversion and communication platform to help them get more leads and make more,"'ai':16,32 'arm':4 'busi':7 'communic':36 'complet':10 'convers':34 'convert':19 'custom':24 'day':26 'driven':15 'employe':17 'everi':5,25 'get':41 'help':39 'lead':20,33,43 'local':6 'make':45 'million':27 'mission':1 'outcom':14 'outcome-driven':13 'pay':23 'platform':11,37 'real':22 'use':30 'worker':29","{ai,arm,busi,communic,complet,convers,convert,custom,day,driven,employe,everi,get,help,lead,local,make,million,mission,outcom,outcome-driven,pay,platform,real,use,worker}"
"Senior Underwriter, Property",Arch Insurance Group Inc.,"",Australia,"&nbsp;...contribution to tangible book value for Arch. 
 Maintain and develop key broker relationships through consistent visitation, ensuring that <b>customer </b>service is provided on high level. 
 Provide timely service of requests and ensure administration of tasks in timely manner....&nbsp;",customer insights analyst,swooped.co,2025-08-13 00:00:00.000 +0700,not_specified,Senior Underwriter,"...contribution to tangible book value for Arch. Maintain and develop key broker relationships through consistent visitation, ensuring that customer service is provided on high level. Provide timely service of requests and ensure administration of tasks in timely manner....",contribution to tangible book value for arch maintain and develop key broker relationships through consistent visitation ensuring that customer service is provided on high level provide timely service of requests and ensure administration of tasks in timely manner,"'administr':33 'arch':7 'book':4 'broker':12 'consist':15 'contribut':1 'custom':19 'develop':10 'ensur':17,32 'high':24 'key':11 'level':25 'maintain':8 'manner':38 'provid':22,26 'relationship':13 'request':30 'servic':20,28 'tangibl':3 'task':35 'time':27,37 'valu':5 'visit':16","{administr,arch,book,broker,consist,contribut,custom,develop,ensur,high,key,level,maintain,manner,provid,relationship,request,servic,tangibl,task,time,valu,visit}"
VIP Relationship Manager,OKX,"",Australia,"&nbsp;...any partnership negotiations 
 Manage relationships with high net worth individuals and key clients in Australia ensuring positive <b>customer </b>experience 
 Build long lasting client relationships to obtain referrals and new sales channels - origination of new prospective...&nbsp;",customer insights analyst,decentrajobs.com,2026-07-24 08:16:33.743 +0700,full_time,VIP Relationship Manager,...any partnership negotiations Manage relationships with high net worth individuals and key clients in Australia ensuring positive customer experience Build long lasting client relationships to obtain referrals and new sales channels - origination of new prospective...,any partnership negotiations manage relationships with high net worth individuals and key clients in australia ensuring positive customer experience build long lasting client relationships to obtain referrals and new sales channels origination of new prospective,"'australia':15 'build':20 'channel':31 'client':13,23 'custom':18 'ensur':16 'experi':19 'high':7 'individu':10 'key':12 'last':22 'long':21 'manag':4 'negoti':3 'net':8 'new':29,34 'obtain':26 'origin':32 'partnership':2 'posit':17 'prospect':35 'referr':27 'relationship':5,24 'sale':30 'worth':9","{australia,build,channel,client,custom,ensur,experi,high,individu,key,last,long,manag,negoti,net,new,obtain,origin,partnership,posit,prospect,referr,relationship,sale,worth}"
Senior Project Engineer,Lendlease,"",Australia," Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.  
 About the Role: 
 With a national delivery capability, Lendlease...",workforce analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,Senior Project Engineer,"Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.   About the Role: With a national delivery capability, Lendlease...",lendlease is a globally integrated real estate group with core expertise in investment management development and construction for more than years we have created thriving places around the globe about the role with a national delivery capability lendlease,"'60':21 'around':28 'capabl':39 'construct':17 'core':10 'creat':25 'deliveri':38 'develop':15 'estat':7 'expertis':11 'global':4 'globe':30 'group':8 'integr':5 'invest':13 'lendleas':1,40 'manag':14 'nation':37 'place':27 'real':6 'role':34 'thrive':26 'year':22 ' ':31","{60,around,capabl,construct,core,creat,deliveri,develop,estat,expertis,global,globe,group,integr,invest,lendleas,manag,nation,place,real,role,thrive,year, }"
Technical Solutions Executive,Autodesk,"",Australia,"&nbsp;...achieve their goals through the use of our technology. Coming from industry, you'll use your experience to identify and uncover our <b>customer'</b>s needs, develop a strategy, prove value, with the ultimate goal of delivering outcomes for our customers 
 This is a remote role...&nbsp;",customer insights analyst,swooped.co,2025-08-12 00:00:00.000 +0700,not_specified,Technical Solutions Executive,"...achieve their goals through the use of our technology. Coming from industry, you'll use your experience to identify and uncover our customer' s needs, develop a strategy, prove value, with the ultimate goal of delivering outcomes for our customers This is a remote role...",achieve their goals through the use of our technology coming from industry you ll use your experience to identify and uncover our customer s needs develop a strategy prove value with the ultimate goal of delivering outcomes for our customers this is a remote role,"'achiev':1 'come':10 'custom':23,40 'deliv':36 'develop':26 'experi':17 'goal':3,34 'identifi':19 'industri':12 'll':14 'need':25 'outcom':37 'prove':29 'remot':44 'role':45 'strategi':28 'technolog':9 'ultim':33 'uncov':21 'use':6,15 'valu':30","{achiev,come,custom,deliv,develop,experi,goal,identifi,industri,ll,need,outcom,prove,remot,role,strategi,technolog,ultim,uncov,use,valu}"
Training Coordinator,Clough AMEC.,"",Australia,"&nbsp;...related matters 
 What you will bring to the team 
 Highly developed communication skills to motivate, inspire and persuade      
 <b>Customer </b>focus through providing timely advice and assistance and proactive to stakeholder needs 
 Demonstrated leadership capability...&nbsp;",customer insights analyst,swooped.co,2025-08-13 00:00:00.000 +0700,not_specified,Training Coordinator,"...related matters What you will bring to the team Highly developed communication skills to motivate, inspire and persuade       Customer focus through providing timely advice and assistance and proactive to stakeholder needs  Demonstrated leadership capability...",related matters what you will bring to the team highly developed communication skills to motivate inspire and persuade customer focus through providing timely advice and assistance and proactive to stakeholder needs demonstrated leadership capability,'advic':25 'assist':27 'bring':6 'capabl':35 'communic':12 'custom':20 'demonstr':33 'develop':11 'focus':21 'high':10 'inspir':16 'leadership':34 'matter':2 'motiv':15 'needs ':32 'persuade   ':18 'proactiv':29 'provid':23 'relat':1 'skill':13 'stakehold':31 'team':9 'time':24 '  ':19,"{advic,assist,bring,capabl,communic,custom,demonstr,develop,focus,high,inspir,leadership,matter,motiv,needs ,persuade   ,proactiv,provid,relat,skill,stakehold,team,time,  }"
Senior Structures Design Engineer,Northrop Grumman,"",Australia," AUSTRALIAN CITIZENSHIP REQUIRED FOR THIS POSITION: Yes 
 RELOCATION ASSISTANCE: No relocation assistance available 
 CLEARANCE TYPE: AU- Secret (NV1)
 TRAVEL: Yes, 10% of the Time 
 Description 
 We’re building a reputation as the place to be in Defence. Uniquely ...",workforce analyst,swooped.co,2025-08-14 00:00:00.000 +0700,not_specified,Senior Structures Design Engineer,"AUSTRALIAN CITIZENSHIP REQUIRED FOR THIS POSITION: Yes RELOCATION ASSISTANCE: No relocation assistance available CLEARANCE TYPE: AU- Secret (NV1) TRAVEL: Yes, 10% of the Time Description We’re building a reputation as the place to be in Defence. Uniquely ...",australian citizenship required for this position yes relocation assistance no relocation assistance available clearance type au secret nv travel yes of the time description we re building a reputation as the place to be in defence uniquely,"'10':21 'assist':9,12 'au':16 'australian':1 'avail':13 'build':27 'citizenship':2 'clearanc':14 'defenc':36 'descript':25 'nv1':18 'place':32 'posit':6 'reloc':8,11 'reput':29 'requir':3 'secret':17 'time':24 'travel':19 'type':15 'uniqu':37 'we’r':26 'yes':7,20","{10,assist,au,australian,avail,build,citizenship,clearanc,defenc,descript,nv1,place,posit,reloc,reput,requir,secret,time,travel,type,uniqu,we’r,yes}"
"Senior Backend Engineer, Cashalo",Tilt,"",Australia,"&nbsp;...credit models look beyond credit scores, using over 250 real-time financial signals to recognize real potential. With millions of <b>customers </b>worldwide, we're not just changing how people access financial products — we're creating a new credit system that backs the working...&nbsp;",customer insights analyst,hireskys.com,2026-07-16 04:12:10.580 +0700,full_time,Senior Backend Engineer,"...credit models look beyond credit scores, using over 250 real-time financial signals to recognize real potential. With millions of customers worldwide, we're not just changing how people access financial products — we're creating a new credit system that backs the working...",credit models look beyond credit scores using over real time financial signals to recognize real potential with millions of customers worldwide we re not just changing how people access financial products we re creating a new credit system that backs the working,"'250':9 'access':31 'back':43 'beyond':4 'chang':28 'creat':37 'credit':1,5,40 'custom':22 'financi':13,32 'look':3 'million':20 'model':2 'new':39 'peopl':30 'potenti':18 'product':33 're':25,36 'real':11,17 'real-tim':10 'recogn':16 'score':6 'signal':14 'system':41 'time':12 'use':7 'work':45 'worldwid':23 '—':34","{250,access,back,beyond,chang,creat,credit,custom,financi,look,million,model,new,peopl,potenti,product,re,real,real-tim,recogn,score,signal,system,time,use,work,worldwid,—}"
"Senior Account Executive, Specialization",HUbspot,"",Australia,"&nbsp;...Who are we? HubSpot is a leading <b>customer </b>platform that brings marketing, sales, service, and operations tools together to help businesses attract, engage, and delight customers. It's our mission to not just help them grow, but to help them grow better. Our global team...&nbsp;",customer insights analyst,hireskys.com,2026-07-22 03:20:45.573 +0700,full_time,Senior Account Executive,"...Who are we? HubSpot is a leading customer platform that brings marketing, sales, service, and operations tools together to help businesses attract, engage, and delight customers. It's our mission to not just help them grow, but to help them grow better. Our global team...",who are we hubspot is a leading customer platform that brings marketing sales service and operations tools together to help businesses attract engage and delight customers it s our mission to not just help them grow but to help them grow better our global team,"'attract':22 'better':42 'bring':11 'busi':21 'custom':8,26 'delight':25 'engag':23 'global':44 'grow':36,41 'help':20,34,39 'hubspot':4 'lead':7 'market':12 'mission':30 'oper':16 'platform':9 'sale':13 'servic':14 'team':45 'togeth':18 'tool':17","{attract,better,bring,busi,custom,delight,engag,global,grow,help,hubspot,lead,market,mission,oper,platform,sale,servic,team,togeth,tool}"
"Manager, Contracts Management",Remote,"",Australia,"&nbsp;...maintaining the gold standard in HR practices; it’s about elevating it, integrating cutting-edge technology solutions, and enriching <b>customer </b>experiences in over 80+ countries  . On this team, your work directly influences our ability to sustain and extend our compliance...&nbsp;",customer insights analyst,hireskys.com,2026-07-24 13:54:28.233 +0700,full_time,Manager,"...maintaining the gold standard in HR practices; it’s about elevating it, integrating cutting-edge technology solutions, and enriching customer experiences in over 80+ countries . On this team, your work directly influences our ability to sustain and extend our compliance...",maintaining the gold standard in hr practices it s about elevating it integrating cutting edge technology solutions and enriching customer experiences in over countries on this team your work directly influences our ability to sustain and extend our compliance,'80':24 'abil':34 'complianc':40 'countri':25 'custom':20 'cut':14 'cutting-edg':13 'direct':31 'edg':15 'elev':10 'enrich':19 'experi':21 'extend':38 'gold':3 'hr':6 'influenc':32 'integr':12 'it’':8 'maintain':1 'practic':7 'solut':17 'standard':4 'sustain':36 'team':28 'technolog':16 'work':30,"{80,abil,complianc,countri,custom,cut,cutting-edg,direct,edg,elev,enrich,experi,extend,gold,hr,influenc,integr,it’,maintain,practic,solut,standard,sustain,team,technolog,work}"
"AU Product Support Specialist (Remote, Philippines)",Podium,"",Australia,"&nbsp;...mission is to arm every local business with a complete platform and outcome-driven AI employees that convert leads into real, paying <b>customers.</b> Every day, millions of workers use our AI lead conversion and communication platform to help them get more leads and make more...&nbsp;",customer insights analyst,swooped.co,2025-08-06 00:00:00.000 +0700,not_specified,AU Product Support Specialist (Remote,"...mission is to arm every local business with a complete platform and outcome-driven AI employees that convert leads into real, paying customers. Every day, millions of workers use our AI lead conversion and communication platform to help them get more leads and make more...",mission is to arm every local business with a complete platform and outcome driven ai employees that convert leads into real paying customers every day millions of workers use our ai lead conversion and communication platform to help them get more leads and make more,"'ai':16,32 'arm':4 'busi':7 'communic':36 'complet':10 'convers':34 'convert':19 'custom':24 'day':26 'driven':15 'employe':17 'everi':5,25 'get':41 'help':39 'lead':20,33,43 'local':6 'make':45 'million':27 'mission':1 'outcom':14 'outcome-driven':13 'pay':23 'platform':11,37 'real':22 'use':30 'worker':29","{ai,arm,busi,communic,complet,convers,convert,custom,day,driven,employe,everi,get,help,lead,local,make,million,mission,outcom,outcome-driven,pay,platform,real,use,worker}"
Engineering Delivery Lead,Leidos,"",Australia," Life Days  are the Leidos way of recognising that we all need extra time to take care of life. By working slightly more than the minimum weekly hours (2 hours per week for full-timers), you can accrue up to  12 days of leave  per year. 
 Due to the nature of the role,...",analytics consultant,swooped.co,2025-09-16 00:00:00.000 +0700,not_specified,Engineering Delivery Lead,"Life Days are the Leidos way of recognising that we all need extra time to take care of life. By working slightly more than the minimum weekly hours (2 hours per week for full-timers), you can accrue up to  12 days of leave per year. Due to the nature of the role,...",life days are the leidos way of recognising that we all need extra time to take care of life by working slightly more than the minimum weekly hours hours per week for full timers you can accrue up to days of leave per year due to the nature of the role,"'12':42 '2':29 'accru':39 'care':17 'day':2,43 'due':48 'extra':13 'full':35 'full-tim':34 'hour':28,30 'leav':45 'leido':5 'life':1,19 'minimum':26 'natur':51 'need':12 'per':31,46 'recognis':8 'role':54 'slight':22 'take':16 'time':14 'timer':36 'to ':41 'way':6 'week':27,32 'work':21 'year':47","{12,2,accru,care,day,due,extra,full,full-tim,hour,leav,leido,life,minimum,natur,need,per,recognis,role,slight,take,time,timer,to ,way,week,work,year}"
Sales Manager,BYD,"",Australia,"&nbsp;...energy storage regulations. 
3.Collaboration & Leadership: 
 Work closely with engineering, operations, and R&D teams to deliver <b>customer-</b>focused solutions. 
 Qualifications: 
1.Electrical Engineering, Energy Systems, Mechanical Engineering, or a related technical...&nbsp;",customer insights analyst,ev.careers,2026-07-20 19:38:37.427 +0700,full_time,Sales Manager,"...energy storage regulations. 3.Collaboration & Leadership: Work closely with engineering, operations, and R&D teams to deliver customer- focused solutions. Qualifications: 1.Electrical Engineering, Energy Systems, Mechanical Engineering, or a related technical...",energy storage regulations collaboration leadership work closely with engineering operations and r d teams to deliver customer focused solutions qualifications electrical engineering energy systems mechanical engineering or a related technical,"'1.electrical':21 '3.collaboration':4 'close':7 'custom':17 'd':13 'deliv':16 'energi':1,23 'engin':9,22,26 'focus':18 'leadership':5 'mechan':25 'oper':10 'qualif':20 'r':12 'regul':3 'relat':29 'solut':19 'storag':2 'system':24 'team':14 'technic':30 'work':6","{1.electrical,3.collaboration,close,custom,d,deliv,energi,engin,focus,leadership,mechan,oper,qualif,r,regul,relat,solut,storag,system,team,technic,work}"
Senior Engineer Service Management,Unisys,"",Australia," What success looks like in this role: 
 This role oversees, facilitates and administers ITIL based service support and requires a strong understanding of Service Management practices, with a particular emphasis on Service Request Management and Service Level Management...",workforce analyst,swooped.co,2025-09-11 00:00:00.000 +0700,not_specified,Senior Engineer Service Management,"What success looks like in this role: This role oversees, facilitates and administers ITIL based service support and requires a strong understanding of Service Management practices, with a particular emphasis on Service Request Management and Service Level Management...",what success looks like in this role this role oversees facilitates and administers itil based service support and requires a strong understanding of service management practices with a particular emphasis on service request management and service level management,"'administ':13 'base':15 'emphasi':30 'facilit':11 'itil':14 'level':37 'like':4 'look':3 'manag':25,34,38 'overse':10 'particular':29 'practic':26 'request':33 'requir':19 'role':7,9 'servic':16,24,32,36 'strong':21 'success':2 'support':17 'understand':22","{administ,base,emphasi,facilit,itil,level,like,look,manag,overse,particular,practic,request,requir,role,servic,strong,success,support,understand}"
Quality Engineer,Invictus People,$110k,Australia," Position Description 
 Quality Engineer 
 About the Opportunity 
 An exciting opportunity is available for an experienced Quality Engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries...",workforce analyst,atzcrm.com,2026-07-15 03:11:10.827 +0700,not_specified,Quality Engineer,Position Description Quality Engineer About the Opportunity An exciting opportunity is available for an experienced Quality Engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries...,position description quality engineer about the opportunity an exciting opportunity is available for an experienced quality engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries,"'advanc':22 'avail':12 'compon':28 'deliv':25 'descript':2 'engin':4,17 'excit':9 'experienc':15 'grow':21 'high':26,32 'industri':34 'join':19 'manufactur':23 'opportun':7,10 'organis':24 'posit':1 'precis':27 'qualiti':3,16 'regul':33 'system':30","{advanc,avail,compon,deliv,descript,engin,excit,experienc,grow,high,industri,join,manufactur,opportun,organis,posit,precis,qualiti,regul,system}"
