anzsco_code,occupation_name,weekly_cash_earnings_males_raw,weekly_cash_earnings_females_raw,weekly_cash_earnings_persons_raw,average_age_males_raw,average_age_females_raw,average_age_persons_raw,currency,earnings_period,reference_period,source,source_table,source_file
8113,Domestic cleaners,554.1,856.4,746.5,37.6,46.8,43.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8114,Housekeepers,610.1,659.1,650.2,33.3,41.0,39.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8115,Laundry workers,1071.1,870.7,942.2,42.7,40.6,41.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8116,Other cleaners,1302.4,383.7,1098.0,42.2,34.4,40.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8211,Building and plumbing labourers,1682.6,1494.6,1670.2,34.3,35.0,34.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8212,Concreters,,,1962.0,,,34.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8213,Fencers,,,1588.8,,,31.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8214,Insulation and home improvement installers,,,1332.5,,,35.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8215,Paving and surfacing labourers,,,1846.1,,,37.4,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8216,Railway track workers,,,2670.2,,,35.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8217,Structural steel construction workers,,,2669.9,,,36.5,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8219,Other construction and mining labourers,1865.1,2350.9,1882.1,34.0,31.3,33.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8311,Food and drink factory workers,1629.5,1463.1,1559.6,40.7,38.7,39.8,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8312,"Meat boners and slicers, and slaughterers",1634.9,1383.0,1567.1,39.3,38.4,39.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8313,"Meat, poultry and seafood process workers",1276.3,1264.8,1272.5,36.4,35.0,35.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8321,Packers,920.7,1018.3,977.5,36.6,40.2,38.7,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8322,Product assemblers,1178.4,1090.6,1167.0,39.1,48.1,40.2,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8391,Metal engineering process workers,1217.3,987.6,1162.6,39.4,42.5,40.1,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8392,Plastics and rubber factory workers,,,1633.4,,,33.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8393,Product quality controllers,1473.5,1126.3,1294.2,46.6,49.1,47.9,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8394,Timber and wood process workers,,,1602.9,,,47.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8399,Other factory process workers,1286.6,529.9,1189.9,35.8,42.4,36.6,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8421,Aquaculture workers,,,,,,,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
8422,Crop farm workers,1205.9,910.6,1143.3,31.3,26.8,30.3,AUD,weekly,2025-05-01,Australian Bureau of Statistics,"Employee Earnings and Hours - Data Cube 11, Table 1",abs_employee_earnings_hours_anzsco4_2025-05.xlsx
